jobTitle,companyName,salary_cleaned,pubDate,region,category,seniority
Linux Desktop &amp; Devices Support Engineer,Canonical,164465.0,2025-05-14 06:01:48,Other,Engineering,Other
Senior Backend Engineer (AWS),Lumenalta,164465.0,2025-05-14 04:31:06,Other,Engineering,Senior
Business Development Representative,Canonical,164465.0,2025-05-14 04:29:16,Other,Other,Other
Senior Node Engineer,Lumenalta,164465.0,2025-05-13 05:16:02,Other,Engineering,Senior
Senior Product Designer,Lumenalta,164465.0,2025-05-13 05:16:00,Other,Product,Senior
Senior Migration Specialist,Uscreen,164465.0,2025-05-12 16:42:05,Other,Other,Senior
Large Language Model (LLM) AI Research Engineer,upfeat,164465.0,2025-05-12 04:54:48,Other,Data,Other
"Sr. Protocol Researcher, Blockchain Sharding",Subspace Network,164465.0,2025-05-11 19:29:19,Other,Data,Senior
Content Marketing Manager,Firstbase.io,164465.0,2025-05-10 05:54:00,Other,Marketing,Other
WordPress Developer,Awesome Motive,164465.0,2025-05-09 05:39:12,Other,Engineering,Other
Business Analyst,Designit,133630.0,2025-05-09 05:33:59,North America,Data,Other
Lead Generation Specialist for Linkedin (Night shifts),Andersen Lab,164465.0,2025-05-08 14:38:12,Other,Other,Lead
"Data Scientist, Growth",Eight Sleep,170918.59999999998,2025-05-08 04:41:24,Europe,Data,Other
"Full Stack Engineer, Web",Eight Sleep,170918.59999999998,2025-05-08 04:41:22,Europe,Other,Other
Product Designer,Firstbase.io,164465.0,2025-05-08 04:39:21,Other,Product,Other
Customer Success Manager,Deel,151660.0,2025-05-07 20:58:27,Latam,Management,Other
"Senior Software Engineer, Tokenization",Chainlink Labs,164465.0,2025-05-07 06:25:24,Other,Engineering,Senior
"Senior Software Engineer, Rust (Backend)",Kraken,169000.0,2025-05-06 04:50:00,Europe,Engineering,Senior
"Manager, Digital Marketing",CrossFit,164465.0,2025-05-05 04:58:21,Other,Marketing,Other
Content Writer - AI Researcher,Blavity,164465.0,2025-05-04 04:28:41,Other,Data,Other
Contract Sr. JavaScript Engineer,10up,164465.0,2025-05-04 04:27:53,Other,Engineering,Senior
Head of Partnerships,Exodus,145000.0,2025-05-04 04:18:06,Other,Management,Other
Senior Protocol Engineer - Rust,Subspace Network,164465.0,2025-05-03 03:45:24,Other,Engineering,Senior
"B2B Copywriter, Demand Generation",ModSquad,164465.0,2025-05-02 04:18:55,Other,Other,Other
Sr. Software Engineer,Exodus,175000.0,2025-05-01 04:41:59,Other,Engineering,Senior
Senior / Staff Site Reliability Engineer,Scroll.io,164465.0,2025-04-30 09:43:24,Other,Engineering,Senior
Javascript Fullstack Engineer - Mid-Level,Lumenalta,164465.0,2025-04-29 04:28:43,Other,Engineering,Mid
"Sr. Backend Developer, NodeJS",Bitfinex,164465.0,2025-04-28 04:22:19,Other,Engineering,Senior
Mid-Level Fullstack Python/React Engineer,Lumenalta,164465.0,2025-04-28 04:18:21,Other,Engineering,Mid
Freelance Copywriter,Cella,164465.0,2025-04-27 04:50:30,Other,Other,Other
OCaml Developer,Ahrefs,164465.0,2025-04-27 04:09:56,Other,Engineering,Other
Graduate Customer Success Manager,Canonical,164465.0,2025-04-26 04:50:23,Other,Management,Other
Senior Software Engineer - Frontend - Growth SEO,Kraken,165000.0,2025-04-25 04:12:25,Other,Engineering,Senior
Creator Representative,ConvertKit,164465.0,2025-04-25 04:08:41,Other,Other,Other
Customer Support Associate,Prezi,164465.0,2025-04-25 04:07:11,Other,Other,Mid
Account Executive,Athena,164465.0,2025-04-23 04:35:07,Other,Other,Other
Technical Writer,GitLab,127600.0,2025-04-23 04:30:06,Latam,Other,Other
Technical Account Manager - Newspack,Automattic,101500.0,2025-04-22 04:42:50,Other,Management,Other
Research Engineer,Chainlink Labs,164465.0,2025-04-22 04:36:06,Other,Engineering,Other
"Expert Advisor, Health",WebFX,164465.0,2025-04-22 04:31:01,Other,Other,Senior
UX Designers,Shopify,164465.0,2025-04-19 09:29:04,Other,UX,Other
"Technical Data Analyst, Blockchain",Chainlink Labs,164465.0,2025-04-19 09:28:14,Other,Data,Other
Backend Engineer,Qventus,151660.0,2025-04-19 09:24:00,Latam,Engineering,Other
"Customer Operations, Talent Community",PointClickCare,164465.0,2025-04-18 04:37:10,Other,Other,Other
Senior Security Analyst,Identify Security,164465.0,2025-04-18 04:36:02,Other,Data,Senior
Frontend Engineer,Qventus,151660.0,2025-04-18 04:23:16,Latam,Engineering,Other
Staff Product Designer,Elevate Labs,151660.0,2025-04-17 04:52:53,Latam,Product,Other
Senior Backend Engineer (North or South America),Elevate Labs,167500.0,2025-04-17 04:52:41,Latam,Engineering,Senior
"Software Engineer, Present Editor",Prezi,164465.0,2025-04-16 04:35:41,Other,Engineering,Other
Content Writer,Cella,164465.0,2025-04-15 04:36:57,Other,Other,Other
Android Seveloper,Planner 5D,170918.59999999998,2025-05-14 05:55:44,Europe,Other,Other
Customer Support Agent,Planner 5D,170918.59999999998,2025-05-14 05:53:52,Europe,Other,Other
Head of Customer Support - DTC E-commerce,Foxelli Group,170918.59999999998,2025-05-12 16:38:08,Europe,Management,Other
Freelance Tutorial Writer,DataCamp,170918.59999999998,2025-05-12 04:55:30,Europe,Other,Other
Senior / Staff Fullstack Engineer,Linear,170918.59999999998,2025-05-12 04:44:58,Europe,Engineering,Senior
Creative Director (Web &amp; Brand),Linear,133630.0,2025-05-11 19:26:15,North America,Management,Other
Data Engineer,Pagos,170918.59999999998,2025-05-10 05:40:15,Europe,Data,Other
Senior Technical Writer,Kong Inc.,170918.59999999998,2025-05-10 04:52:55,Europe,Other,Senior
Technical Consultant,Degreed,170918.59999999998,2025-05-09 05:09:20,Europe,Other,Other
"Customer Success Manager, Deel IT",Deel,170918.59999999998,2025-05-06 04:34:30,Europe,Other,Other
Corporate Development Associate,Find.co,170918.59999999998,2025-05-05 20:31:34,Europe,Other,Mid
Growth Marketing Manager,Find.co,170918.59999999998,2025-05-05 13:55:10,Europe,Marketing,Other
Python Developer,Bitfinex,170918.59999999998,2025-05-04 05:41:23,Europe,Engineering,Other
