jobTitle,companyName,annualSalaryMin,annualSalaryMax,salary_cleaned,pubDate,region
Linux Desktop &amp; Devices Support Engineer,Canonical,132600.0,196330.0,164465.0,2025-05-14 06:01:48,apac
Senior Backend Engineer (AWS),Lumenalta,132600.0,196330.0,164465.0,2025-05-14 04:31:06,apac
Business Development Representative,Canonical,132600.0,196330.0,164465.0,2025-05-14 04:29:16,apac
Senior Node Engineer,Lumenalta,132600.0,196330.0,164465.0,2025-05-13 05:16:02,apac
Senior Product Designer,Lumenalta,132600.0,196330.0,164465.0,2025-05-13 05:16:00,apac
Senior Migration Specialist,Uscreen,132600.0,196330.0,164465.0,2025-05-12 16:42:05,apac
Large Language Model (LLM) AI Research Engineer,upfeat,132600.0,196330.0,164465.0,2025-05-12 04:54:48,apac
"Sr. Protocol Researcher, Blockchain Sharding",Subspace Network,132600.0,196330.0,164465.0,2025-05-11 19:29:19,apac
Content Marketing Manager,Firstbase.io,132600.0,196330.0,164465.0,2025-05-10 05:54:00,apac
WordPress Developer,Awesome Motive,132600.0,196330.0,164465.0,2025-05-09 05:39:12,apac
Business Analyst,Designit,109310.0,157950.0,133630.0,2025-05-09 05:33:59,usa
Lead Generation Specialist for Linkedin (Night shifts),Andersen Lab,132600.0,196330.0,164465.0,2025-05-08 14:38:12,apac
"Data Scientist, Growth",Eight Sleep,139801.8,202035.4,170918.59999999998,2025-05-08 04:41:24,europe
"Full Stack Engineer, Web",Eight Sleep,139801.8,202035.4,170918.59999999998,2025-05-08 04:41:22,europe
Product Designer,Firstbase.io,132600.0,196330.0,164465.0,2025-05-08 04:39:21,apac
Customer Success Manager,Deel,126720.0,176600.0,151660.0,2025-05-07 20:58:27,latam
"Senior Software Engineer, Tokenization",Chainlink Labs,132600.0,196330.0,164465.0,2025-05-07 06:25:24,apac
"Senior Software Engineer, Rust (Backend)",Kraken,135000.0,203000.0,169000.0,2025-05-06 04:50:00,europe
"Manager, Digital Marketing",CrossFit,132600.0,196330.0,164465.0,2025-05-05 04:58:21,apac
Content Writer - AI Researcher,Blavity,132600.0,196330.0,164465.0,2025-05-04 04:28:41,apac
Contract Sr. JavaScript Engineer,10up,132600.0,196330.0,164465.0,2025-05-04 04:27:53,apac
Head of Partnerships,Exodus,130000.0,160000.0,145000.0,2025-05-04 04:18:06,apac
Senior Protocol Engineer - Rust,Subspace Network,132600.0,196330.0,164465.0,2025-05-03 03:45:24,apac
"B2B Copywriter, Demand Generation",ModSquad,132600.0,196330.0,164465.0,2025-05-02 04:18:55,apac
Sr. Software Engineer,Exodus,150000.0,200000.0,175000.0,2025-05-01 04:41:59,apac
Senior / Staff Site Reliability Engineer,Scroll.io,132600.0,196330.0,164465.0,2025-04-30 09:43:24,apac
Javascript Fullstack Engineer - Mid-Level,Lumenalta,132600.0,196330.0,164465.0,2025-04-29 04:28:43,apac
"Sr. Backend Developer, NodeJS",Bitfinex,132600.0,196330.0,164465.0,2025-04-28 04:22:19,apac
Mid-Level Fullstack Python/React Engineer,Lumenalta,132600.0,196330.0,164465.0,2025-04-28 04:18:21,apac
Freelance Copywriter,Cella,132600.0,196330.0,164465.0,2025-04-27 04:50:30,apac
OCaml Developer,Ahrefs,132600.0,196330.0,164465.0,2025-04-27 04:09:56,apac
Graduate Customer Success Manager,Canonical,132600.0,196330.0,164465.0,2025-04-26 04:50:23,apac
Senior Software Engineer - Frontend - Growth SEO,Kraken,127000.0,203000.0,165000.0,2025-04-25 04:12:25,apac
Creator Representative,ConvertKit,132600.0,196330.0,164465.0,2025-04-25 04:08:41,apac
Customer Support Associate,Prezi,132600.0,196330.0,164465.0,2025-04-25 04:07:11,apac
Account Executive,Athena,132600.0,196330.0,164465.0,2025-04-23 04:35:07,apac
Technical Writer,GitLab,81200.0,174000.0,127600.0,2025-04-23 04:30:06,latam
Technical Account Manager - Newspack,Automattic,73000.0,130000.0,101500.0,2025-04-22 04:42:50,apac
Research Engineer,Chainlink Labs,132600.0,196330.0,164465.0,2025-04-22 04:36:06,apac
"Expert Advisor, Health",WebFX,132600.0,196330.0,164465.0,2025-04-22 04:31:01,apac
UX Designers,Shopify,132600.0,196330.0,164465.0,2025-04-19 09:29:04,apac
"Technical Data Analyst, Blockchain",Chainlink Labs,132600.0,196330.0,164465.0,2025-04-19 09:28:14,apac
Backend Engineer,Qventus,126720.0,176600.0,151660.0,2025-04-19 09:24:00,latam
"Customer Operations, Talent Community",PointClickCare,132600.0,196330.0,164465.0,2025-04-18 04:37:10,apac
Senior Security Analyst,Identify Security,132600.0,196330.0,164465.0,2025-04-18 04:36:02,apac
Frontend Engineer,Qventus,126720.0,176600.0,151660.0,2025-04-18 04:23:16,latam
Staff Product Designer,Elevate Labs,126720.0,176600.0,151660.0,2025-04-17 04:52:53,latam
Senior Backend Engineer (North or South America),Elevate Labs,120000.0,215000.0,167500.0,2025-04-17 04:52:41,latam
"Software Engineer, Present Editor",Prezi,132600.0,196330.0,164465.0,2025-04-16 04:35:41,apac
Content Writer,Cella,132600.0,196330.0,164465.0,2025-04-15 04:36:57,apac
Android Seveloper,Planner 5D,139801.8,202035.4,170918.59999999998,2025-05-14 05:55:44,europe
Customer Support Agent,Planner 5D,139801.8,202035.4,170918.59999999998,2025-05-14 05:53:52,europe
Head of Customer Support - DTC E-commerce,Foxelli Group,139801.8,202035.4,170918.59999999998,2025-05-12 16:38:08,europe
Freelance Tutorial Writer,DataCamp,139801.8,202035.4,170918.59999999998,2025-05-12 04:55:30,europe
Senior / Staff Fullstack Engineer,Linear,139801.8,202035.4,170918.59999999998,2025-05-12 04:44:58,europe
Creative Director (Web &amp; Brand),Linear,109310.0,157950.0,133630.0,2025-05-11 19:26:15,usa
Data Engineer,Pagos,139801.8,202035.4,170918.59999999998,2025-05-10 05:40:15,europe
Senior Technical Writer,Kong Inc.,139801.8,202035.4,170918.59999999998,2025-05-10 04:52:55,europe
Technical Consultant,Degreed,139801.8,202035.4,170918.59999999998,2025-05-09 05:09:20,europe
"Customer Success Manager, Deel IT",Deel,139801.8,202035.4,170918.59999999998,2025-05-06 04:34:30,europe
Corporate Development Associate,Find.co,139801.8,202035.4,170918.59999999998,2025-05-05 20:31:34,europe
Growth Marketing Manager,Find.co,139801.8,202035.4,170918.59999999998,2025-05-05 13:55:10,europe
Python Developer,Bitfinex,139801.8,202035.4,170918.59999999998,2025-05-04 05:41:23,europe
Senior iOS Engineer,Help Scout,162000.0,175000.0,168500.0,2025-05-02 04:23:54,europe
Sr. Mobile Content Developer,DataCamp,139801.8,202035.4,170918.59999999998,2025-05-02 04:21:16,europe
Senior Backend Engineer (Darwin),V7,80000.0,130000.0,105000.0,2025-05-01 19:23:22,europe
iOS Engineer (Poe),Quora,155509.0,234118.0,194813.5,2025-04-30 09:34:43,europe
Senior Designer - Web,Kraken,139801.8,202035.4,170918.59999999998,2025-04-27 04:08:24,europe
Sr. UX Designer,Canonical,139801.8,202035.4,170918.59999999998,2025-04-26 04:50:07,europe
Software Engineer - Rust - Backend,Kraken,139801.8,202035.4,170918.59999999998,2025-04-25 15:42:06,europe
Digital Content Manager,COMPLY,85000.0,100000.0,92500.0,2025-05-14 05:14:49,usa
GPU Solutions Engineer,Vultr,120000.0,170000.0,145000.0,2025-05-14 04:35:39,usa
Director of Product Management,Crunchtime,109310.0,157950.0,133630.0,2025-05-14 04:35:14,usa
Account Executive,UpKeep,55000.0,110000.0,82500.0,2025-05-14 04:28:48,usa
Sales Development Representative,UpKeep,45000.0,60000.0,52500.0,2025-05-14 04:28:12,usa
Intermediate Support Engineer (US Federal),GitLab,72800.0,156000.0,114400.0,2025-05-14 03:59:56,usa
Senior Learning Designer,Pinterest,118543.0,244059.0,181301.0,2025-05-14 03:56:06,usa
Sr. Product Support Specialist,Pinterest,76296.0,157080.0,116688.0,2025-05-14 03:55:58,usa
Lead Interoperability Engineer,Innovaccer,109310.0,157950.0,133630.0,2025-05-14 03:46:18,usa
Strategic Sales Director (West),Cresta,130000.0,150000.0,140000.0,2025-05-13 05:15:43,usa
Brand Designer,Cresta,109310.0,157950.0,133630.0,2025-05-13 05:15:10,usa
Commercial Account Manager,Wolfram,40000.0,90000.0,65000.0,2025-05-13 05:14:06,usa
Sales Recruiter,Figma,136000.0,210000.0,173000.0,2025-05-13 05:12:58,usa
Engineering Manager - Fullstack,Givebutter,170000.0,185000.0,177500.0,2025-05-13 05:10:10,usa
Technical Consultant - PST,PerfectServe,109310.0,157950.0,133630.0,2025-05-13 03:22:09,usa
Customer Success Manager - Advertising,Nielsen,51000.0,192000.0,121500.0,2025-05-13 03:19:46,usa
Retail Sales Analytics Manager,Life360,111500.0,164500.0,138000.0,2025-05-13 03:12:23,usa
Onboarding Consultant,Ascensus,109310.0,157950.0,133630.0,2025-05-13 03:05:41,usa
Talent Management Generalist,GoHealth Urgent Care,109310.0,157950.0,133630.0,2025-05-12 05:00:04,usa
Social Media Specialist,GoHealth Urgent Care,109310.0,157950.0,133630.0,2025-05-12 04:58:17,usa
Customer Success Consultant,Lumen Technologies,70287.0,103089.0,86688.0,2025-05-12 04:52:28,usa
"Account Executive, Public Sector",Alteryx,140000.0,165000.0,152500.0,2025-05-12 04:49:49,usa
Technical Account Manager,Alteryx,91500.0,121200.0,106350.0,2025-05-12 04:49:42,usa
Account Executive (Enterprise),Figma,130000.0,160000.0,145000.0,2025-05-12 04:46:05,usa
Customer Success Manager (Direct),Axon,55000.0,95400.0,75200.0,2025-05-11 19:37:18,usa
Account Executive,Boulevard,65000.0,75000.0,70000.0,2025-05-11 19:28:54,usa
Sales Account Executive - Home Service,Scorpion,60000.0,79000.0,69500.0,2025-05-11 19:25:28,usa
Senior Loan Officer,RenoFi,109310.0,157950.0,133630.0,2025-05-11 19:23:38,usa
Cloud Infrastructure Engineer,AccuWeather,109310.0,157950.0,133630.0,2025-05-11 19:23:38,usa
Senior Software Engineer,Zendesk,145000.0,217000.0,181000.0,2025-05-10 05:46:04,usa
Senior Account Executive,TeamSnap,150000.0,179450.0,164725.0,2025-05-10 05:01:18,usa
Full-Stack Software Engineer,Amount,150000.0,170000.0,160000.0,2025-05-10 04:55:34,usa
Senior Risk Analytics Engineer,Pipe,113000.0,155000.0,134000.0,2025-05-09 20:31:36,usa
Customer Service Representative,PNC,34000.0,59800.0,46900.0,2025-05-09 06:55:06,usa
Front End Engineer,Peerspace,130000.0,150000.0,140000.0,2025-05-09 05:39:28,usa
Staff Data Analyst,Headspace,131414.0,197100.0,164257.0,2025-05-09 05:38:57,usa
"Senior Account Executive, Food and Beverage",Target,128000.0,231000.0,179500.0,2025-05-09 05:37:47,usa
Enterprise Sales Executive,Calm,350000.0,183450.0,266725.0,2025-05-09 05:34:03,usa
Campaigns Marketing Manager,Pearson,132600.0,196330.0,164465.0,2025-05-12 04:46:13,apac
Senior Database Administrator,Kraken,127000.0,203000.0,165000.0,2025-05-09 05:26:20,apac
Regional HR Manager - APAC,Canonical,132600.0,196330.0,164465.0,2025-04-24 03:20:54,apac
Technical Support Engineer - South Asia,CertiK,132600.0,196330.0,164465.0,2025-04-23 04:31:20,apac
"Copywriter, Health",WebFX,132600.0,196330.0,164465.0,2025-04-22 04:31:59,apac
Customer Success Manager,Chainlink Labs,132600.0,196330.0,164465.0,2025-04-18 15:13:00,apac
Fullstack Developer (UI),Paymentology,132600.0,196330.0,164465.0,2025-04-15 04:33:15,apac
AI Filmmaker,Bitfinex,132600.0,196330.0,164465.0,2025-04-15 04:16:23,apac
